comuna,sector,nombre,attractiveness
01,1,POPULAR,-1.2687177
02,1,SANTA CRUZ,0.8018266
03,1,MANRIQUE,-1.7462252
04,1,ARANJUEZ, 0.9963180
05,2,CASTILLA,1.0881337
06,2,DOCE DE OCTUBRE, 1.3110120
07,2,ROBLEDO,-0.8043888
08,3,VILLA HERMOSA, 0.1644149
09,3,BUENOS AIRES,1.2267027
10,3,LA CANDELARIA,-2.3083584
11,4,LAURELES,-0.6363694
12,4,LA AMERICA, 0.7755495
13,4,SAN JAVIER,-0.3093923
14,5,EL POBLADO,-1.0048368
15,6,GUAYABAL,1.4986526
16,6,BELEN,0.2156785
50,7,PALMITAS,0.
60,7,SAN CRISTOBAL,0.
70,8,ALTAVISTA,0.
80,8,SAN ANTONIO DE PRADO,0.
90,9,SANTA ELENA,0.
